name,colors,brand,category,price,available_on,shipping_category_id
Oliver,Black,Renegade Sole,Boys,€19.95,01/01/2015,1
Wrexham,Black,Renegade Sole,Boys,€22.95,01/01/2015,1
Brenner,Brown,Shoe Avenue,Mens,€34.95,01/01/2015,1
Brenner,Tan,Shoe Avenue,Mens,€34.95,01/01/2015,1
Callum,Black,Shoe Avenue,Mens,€34.95,01/01/2015,1
Bliss,Beige Leather,Dr Keller,Womens,€27.95,01/01/2015,1
Patricia,Black,Naturelle,Womens,€22.95,01/01/2015,1
Patricia,Pewter,Naturelle,Womens,€22.95,01/01/2015,1
Morag ,Beige,Naturelle,Womens,€24.95,01/01/2015,1
Morag ,Black,Naturelle,Womens,€24.95,01/01/2015,1
Helen,Black,Comfort Plus,Womens,€27.95,01/01/2015,1
Sharon,Black,Comfort Plus,Womens,€27.95,01/01/2015,1
Louise,Black,Comfort Plus,Womens,€25.95,01/01/2015,1
Dr Robin,Black,Dr Keller,Mens,€26.95,01/01/2015,1
Dr Freddy,Black,Dr Keller,Mens,€29.95,01/01/2015,1
Garett,Black,Dr Keller,Mens,€26.95,01/01/2015,1
Allcot,Beige,Dr Keller,Mens,€36.95,01/01/2015,1
Taylor,Black,Trade Safe,Mens,€49.95,01/01/2015,1
Builder N ,Wheat,Trade Safe,Mens,€49.95,01/01/2015,1
Rigger,Tan,Trade Safe,Mens,€49.95,01/01/2015,1
Laces Star,white,,Accessories,€3.00,01/01/2015,1
Laces Star,black,,Accessories,€3.00,01/01/2015,1
Laces Camoflague,grey,,Accessories,€3.00,01/01/2015,1
Laces Camoflague,green,,Accessories,€3.00,01/01/2015,1
Laces Striped,striped,,Accessories,€3.00,01/01/2015,1
Laces Striped,striped,,Accessories,€3.00,01/01/2015,1
Pink laces,pink,,Accessories,€3.00,01/01/2015,1
Illuminous laces,Yellow,,Accessories,€3.00,01/01/2015,1
Illuminous laces,Orange,,Accessories,€3.00,01/01/2015,1
Illuminous laces,Pink,,Accessories,€3.00,01/01/2015,1
Boot laces,Black,,Accessories,€2.00,01/01/2015,1
Boot laces,White,,Accessories,€2.00,01/01/2015,1
